Year;"shweal_p0p50_z_FR
France
Net personal wealth
Bottom 50% | share
";"shweal_p50p90_z_FR
France
Net personal wealth
Middle 40% | share
";"shweal_p90p100_z_FR
France
Net personal wealth
Top 10% | share
";"sptinc_p0p40_z_FR
France
Pre-tax national income
Bottom 40% | share | adults | equal split
";"shweal_p99p100_z_FR
France
Net personal wealth
Top 1% | share
"
1807;0.0267;0.1832;0.7901;;0.4414
1808;;;;;
1809;;;;;
1810;;;;;
1811;;;;;
1812;;;;;
1813;;;;;
1814;;;;;
1815;;;;;
1816;;;;;
1817;0.023;0.129;0.848;;0.4844
1818;;;;;
1819;;;;;
1820;;;;;
1821;;;;;
1822;;;;;
1823;;;;;
1824;;;;;
1825;;;;;
1826;;;;;
1827;0.0247;0.1506;0.8246;;0.4667
1828;;;;;
1829;;;;;
1830;;;;;
1831;;;;;
1832;;;;;
1833;;;;;
1834;;;;;
1835;;;;;
1836;;;;;
1837;0.0255;0.1753;0.7992;;0.4578
1838;;;;;
1839;;;;;
1840;;;;;
1841;;;;;
1842;;;;;
1843;;;;;
1844;;;;;
1845;;;;;
1846;;;;;
1847;0.0193;0.1134;0.8673;;0.5118
1848;;;;;
1849;;;;;
1850;;;;;
1851;;;;;
1852;;;;;
1853;;;;;
1854;;;;;
1855;;;;;
1856;;;;;
1857;0.0223;0.1475;0.8302;;0.5155
1858;;;;;
1859;;;;;
1860;;;;;
1861;;;;;
1862;;;;;
1863;;;;;
1864;;;;;
1865;;;;;
1866;;;;;
1867;0.0226;0.168;0.8094;;0.4927
1868;;;;;
1869;;;;;
1870;;;;;
1871;;;;;
1872;;;;;
1873;;;;;
1874;;;;;
1875;;;;;
1876;;;;;
1877;0.0213;0.1528;0.8258;;0.4536
1878;;;;;
1879;;;;;
1880;;;;;
1881;;;;;
1882;;;;;
1883;;;;;
1884;;;;;
1885;;;;;
1886;;;;;
1887;0.0211;0.1461;0.8328;;0.4894
1888;;;;;
1889;;;;;
1890;;;;;
1891;;;;;
1892;;;;;
1893;;;;;
1894;;;;;
1895;;;;;
1896;;;;;
1897;;;;;
1898;;;;;
1899;;;;;
1900;;;;0.0881;
1901;;;;;
1902;0.0163;0.1432;0.8405;;0.5236
1903;0.0162;0.1332;0.8506;;0.5436
1904;0.0154;0.1259;0.8587;;0.5634
1905;0.0153;0.1246;0.8601;;0.569
1906;;;;;
1907;0.0156;0.1346;0.8498;;0.5441
1908;;;;;
1909;0.0164;0.1326;0.8511;;0.5538
1910;0.0162;0.1365;0.8473;0.0847;0.5403
1911;0.0163;0.1293;0.8544;;0.5542
1912;0.0155;0.132;0.8525;;0.5531
1913;0.0162;0.1348;0.849;;0.5456
1914;0.0161;0.1348;0.8491;;0.5456
1915;0.0172;0.1393;0.8434;0.0882;0.54
1916;0.0167;0.1403;0.843;0.0892;0.5376
1917;0.0162;0.1415;0.8423;0.0877;0.5349
1918;0.016;0.1455;0.8384;0.094;0.5281
1919;0.0161;0.1505;0.8334;0.0928;0.5201
1920;0.0165;0.1605;0.8229;0.0934;0.5046
1921;0.0169;0.1674;0.8157;0.096;0.494
1922;0.0171;0.1734;0.8096;0.0928;0.4846
1923;0.0172;0.178;0.8048;0.0889;0.4773
1924;0.017;0.1797;0.8034;0.0932;0.4743
1925;0.0255;0.1877;0.7868;0.0947;0.447
1926;0.0269;0.186;0.7871;0.0991;0.4536
1927;0.0245;0.1774;0.798;0.0968;0.4774
1928;;;;0.0985;
1929;0.0223;0.175;0.8027;0.1023;0.4908
1930;0.0206;0.1772;0.8023;0.1061;0.4961
1931;0.0213;0.1911;0.7876;0.1074;0.4633
1932;0.0219;0.1985;0.7796;0.1029;0.4479
1933;0.0228;0.196;0.7812;0.0994;0.446
1934;;;;0.0982;
1935;0.0249;0.2028;0.7722;0.0961;0.4375
1936;0.0248;0.2083;0.7668;0.1014;0.4326
1937;0.0248;0.2114;0.7638;0.1046;0.4264
1938;0.0316;0.221;0.7473;0.1075;0.3969
1939;0.0298;0.2145;0.7557;0.1142;0.3999
1940;0.0393;0.2366;0.7241;0.1113;0.3478
