Downloaded from wid.world on 08-03-2021 at 18:04:17
Year;"sptinc_p99p100_z_FR
France
Pre-tax national income
Top 1% | share
";"sptinc_p0p50_z_FR
France
Pre-tax national income
Bottom 50% | share | adults | equal split
";"sptinc_p50p90_z_FR
France
Pre-tax national income
Middle 40% | share | adults | equal split
";"sptinc_p90p100_z_FR
France
Pre-tax national income
Top 10% | share
"
1900;0.2205;0.1356;0.3641;0.5003
1901;;;;
1902;;;;
1903;;;;
1904;;;;
1905;;;;
1906;;;;
1907;;;;
1908;;;;
1909;;;;
1910;0.2295;0.1318;0.3513;0.5168
1911;;;;
1912;;;;
1913;;;;
1914;;;;
1915;0.1983;0.1387;0.3762;0.4851
1916;0.2284;0.1376;0.3578;0.5046
1917;0.226;0.1367;0.3602;0.5031
1918;0.2009;0.144;0.3817;0.4742
1919;0.2095;0.1435;0.3735;0.4831
1920;0.2007;0.1457;0.3811;0.4731
1921;0.1913;0.1486;0.3896;0.4618
1922;0.2094;0.1447;0.3783;0.477
1923;0.2327;0.1399;0.3648;0.4953
1924;0.2158;0.1445;0.3776;0.4779
1925;0.2096;0.1468;0.3823;0.4709
1926;0.2056;0.1524;0.3928;0.4548
1927;0.2126;0.1495;0.3826;0.4679
1928;0.2139;0.1515;0.3815;0.4669
1929;0.2002;0.1572;0.3902;0.4527
1930;0.1724;0.1633;0.4068;0.4299
1931;0.1646;0.1648;0.4088;0.4264
1932;0.1687;0.1578;0.3941;0.4481
1933;0.1766;0.1522;0.3812;0.4666
1934;0.1764;0.1503;0.3768;0.4728
1935;0.1839;0.1473;0.3696;0.4831
1936;0.173;0.1552;0.3879;0.4569
1937;0.1745;0.1598;0.3903;0.4499
1938;0.1652;0.1639;0.3987;0.4374
1939;0.1641;0.1746;0.4136;0.4118
1940;0.1678;0.1705;0.4073;0.4223
1941;0.1602;0.1744;0.4155;0.4101
1942;0.1465;0.1861;0.431;0.3829
1943;0.1183;0.2022;0.4529;0.3449
1944;0.0998;0.2077;0.4697;0.3226
1945;0.0847;0.2112;0.4775;0.3112
1946;0.1043;0.1959;0.4596;0.3445
1947;0.1071;0.1911;0.4518;0.3571
1948;0.0991;0.1985;0.4644;0.3372
1949;0.1027;0.1997;0.4608;0.3395
1950;0.1034;0.2016;0.4607;0.3377
1951;0.107;0.197;0.457;0.346
1952;0.1096;0.1945;0.4521;0.3534
1953;0.1084;0.1973;0.4521;0.3506
1954;0.1105;0.194;0.4487;0.3573
1955;0.1126;0.1912;0.4448;0.364
1956;0.1096;0.1929;0.4478;0.3593
1957;0.1123;0.1909;0.4449;0.3641
1958;0.1036;0.1934;0.4515;0.3552
1959;0.1122;0.1872;0.4371;0.3757
1960;0.1146;0.1859;0.437;0.3771
1961;0.1157;0.1856;0.4332;0.3812
1962;0.1094;0.1882;0.4426;0.3692
1963;0.1073;0.1846;0.4459;0.3695
1964;0.1084;0.1865;0.438;0.3756
1965;0.1094;0.1821;0.4385;0.3794
1966;0.1073;0.1852;0.4457;0.3691
1967;0.1071;0.1855;0.4474;0.3671
1968;0.1016;0.1926;0.4544;0.3531
1969;0.099;0.197;0.4586;0.3444
1970;0.0966;0.2014;0.4577;0.3408
1971;0.0967;0.2027;0.4599;0.3374
1972;0.095;0.2066;0.4584;0.335
1973;0.1009;0.2023;0.4557;0.342
1974;0.0974;0.2046;0.4576;0.3378
1975;0.0911;0.2084;0.4589;0.3327
1976;0.091;0.2117;0.4607;0.3276
1977;0.0853;0.2219;0.4658;0.3123
1978;0.0827;0.2285;0.4661;0.3054
1979;0.0856;0.233;0.4531;0.3139
1980;0.0704;0.242;0.481;0.2767
1981;0.0694;0.2427;0.4818;0.2756
1982;0.0664;0.2435;0.4837;0.2728
1983;0.0658;0.2427;0.484;0.2733
1984;0.0664;0.2407;0.4844;0.2752
1985;0.0687;0.2426;0.4796;0.2785
1986;0.0739;0.2416;0.4728;0.2863
1987;0.0776;0.2421;0.4682;0.291
1988;0.0791;0.2432;0.4642;0.2943
1989;0.0834;0.2383;0.4626;0.3008
1990;0.0823;0.2361;0.4648;0.2996
1991;0.0838;0.235;0.4681;0.2974
1992;0.0805;0.2342;0.4725;0.2937
1993;0.0803;0.2304;0.4764;0.2937
1994;0.0843;0.2295;0.4738;0.2973
1995;0.0856;0.23;0.472;0.2984
1996;0.0943;0.2265;0.4668;0.3071
1997;0.0974;0.2249;0.4661;0.3093
1998;0.1017;0.223;0.4622;0.315
1999;0.0999;0.2247;0.4619;0.3139
2000;0.1031;0.2245;0.4587;0.3174
2001;0.105;0.2251;0.4556;0.3198
2002;0.1015;0.2231;0.4596;0.3179
2003;0.1025;0.2199;0.4609;0.3195
2004;0.1068;0.2175;0.4587;0.3241
2005;0.105;0.2176;0.4593;0.3233
2006;0.1024;0.2186;0.4594;0.3222
2007;0.1084;0.2151;0.4549;0.3302
2008;0.1109;0.2133;0.4532;0.3335
2009;0.096;0.2175;0.4656;0.3169
2010;0.1015;0.2169;0.4616;0.321
2011;0.104;0.2193;0.4586;0.3223
2012;0.0951;0.2221;0.4646;0.3135
2013;0.0895;0.2224;0.4691;0.309
2014;0.0925;0.2243;0.4649;0.3109
2015;0.0982;0.2184;0.4624;0.3192
2016;0.0988;0.2201;0.4607;0.3193
2017;0.0989;0.22;0.4605;0.3196
2018;0.0999;0.22;0.4593;0.3208
2019;0.0999;0.22;0.4593;0.3208
