Downloaded from wid.world on 08-03-2021 at 18:04:32
Year;"wwealn_pall_999_i_FR
France
Net national wealth to Net National Income Ratio
Total population | ratio | all ages | individual
";"anweal_pall_992_i_FR
France
Market-value national wealth
Total population | average income or wealth | adults | individual |  | ppp | constant (2019)
";"agdpro_pall_992_i_FR
France
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2019)
";"anninc_pall_992_i_FR
France
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2019)
"
1820;;;;2637.8609
1821;;;;2869.6629
1822;;;;2810.7173
1823;;;;2825.2168
1824;;;;2776.6009
1825;;;;2765.2288
1826;;;;2749.4973
1827;;;;2662.5953
1828;;;;2273.8579
1829;;;;2331.1924
1830;;;;2343.1331
1831;;;;2342.8488
1832;;;;2540.1553
1833;;;;2714.6228
1834;;;;2702.8716
1835;;;;2828.7232
1836;;;;2852.889
1837;;;;2840.0953
1838;;;;2773.8526
1839;;;;2615.9695
1840;;;;2876.1071
1841;;;;2985.4691
1842;;;;2843.7913
1843;;;;3064.1263
1844;;;;3048.3001
1845;;;;3203.4349
1846;;;;3191.1151
1847;;;;3280.6707
1848;;;;2929.9352
1849;;;;2984.2371
1850;;;;3177.0895
1851;;;;3127.9998
1852;;;;3421.1165
1853;;;;3432.3939
1854;;;;3458.7393
1855;;;;3425.4758
1856;;;;3493.14
1857;;;;3593.9729
1858;;;;3681.6331
1859;;;;3889.4588
1860;;;;3733.5658
1861;;;;3659.5522
1862;;;;3940.0648
1863;;;;4148.5539
1864;;;;4399.6885
1865;;;;4399.9728
1866;;;;4392.1071
1867;;;;4109.7939
1868;;;;4361.4023
1869;;;;4448.3991
1870;6.9222044945;28894.7879;;4174.236
1871;8.0114765167;29648.2865;;3700.6814
1872;6.8916187286;28968.0434;;4203.3297
1873;7.1956963539;29086.5031;;4042.2245
1874;6.9923205376;29040.9198;;4153.2923
1875;6.263176918;28857.2599;;4607.4195
1876;6.6812777519;29369.8588;;4395.803
1877;6.8150105476;29409.756;;4315.44
1878;7.3759560585;29804.0847;;4040.7082
1879;7.3844814301;30053.9873;;4069.8967
