Year;France_CapitalNational;France_Patrimoine(Top10%);France_Patrimoine(Medium40%);France_Patrimoine(Bottom50%);France_Patrimoine(Top1%);AfriqueSud_CapitalNational;AfriqueSud_Patrimoine(Top10%);AfriqueSud_Patrimoine(Medium40%);AfriqueSud_Patrimoine(Bottom50%);AfriqueSud_Patrimoine(Top1%);Australie_CapitalNational;Australie_Patrimoine(Top10%);Australie_Patrimoine(Medium40%);Australie_Patrimoine(Bottom50%);Australie_Patrimoine(Top1%);Canada_CapitalNational;Canada_Patrimoine(Top10%);Canada_Patrimoine(Medium40%);Canada_Patrimoine(Bottom50%);Canada_Patrimoine(Top1%);Chine_CapitalNational;Chine_Patrimoine(Top10%);Chine_Patrimoine(Medium40%);Chine_Patrimoine(Bottom50%);Chine_Patrimoine(Top1%);Danemark_CapitalNational;Danemark_Patrimoine(Top10%);Danemark_Patrimoine(Medium40%);Danemark_Patrimoine(Bottom50%);Danemark_Patrimoine(Top1%);Inde_CapitalNational;Inde_Patrimoine(Top10%);Inde_Patrimoine(Medium40%);Inde_Patrimoine(Bottom50%);Inde_Patrimoine(Top1%);RU_CapitalNational;RU_Patrimoine(Top10%);RU_Patrimoine(Medium40%);RU_Patrimoine(Bottom50%);RU_Patrimoine(Top1%);Japon_CapitalNational;Japon_Patrimoine(Top10%);Japon_Patrimoine(Medium40%);Japon_Patrimoine(Bottom50%);Japon_Patrimoine(Top1%);Mexique_CapitalNational;Mexique_Patrimoine(Top10%);Mexique_Patrimoine(Medium40%);Mexique_Patrimoine(Bottom50%);Mexique_Patrimoine(Top1%);Russie_CapitalNational;Russie_Patrimoine(Top10%);Russie_Patrimoine(Medium40%);Russie_Patrimoine(Bottom50%);Russie_Patrimoine(Top1%);US_CapitalNational;US_Patrimoine(Top10%);US_Patrimoine(Medium40%);US_Patrimoine(Bottom50%);US_Patrimoine(Top1%);

1807;;0.7901;0.1832;0.0267;0.4414;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1808;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1809;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1810;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1812;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1814;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1815;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1817;;0.848;0.129;0.023;0.4844;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;;0.8246;0.1506;0.0247;0.4667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;;0.7992;0.1753;0.0255;0.4578;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;;0.8673;0.1134;0.0193;0.5118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31292.1361;;;;;;;;;;;;;;;;;;;;;;;;
1856;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31712.6387;;;;;;;;;;;;;;;;;;;;;;;;
1857;;0.8302;0.1475;0.0223;0.5155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32978.018;;;;;;;;;;;;;;;;;;;;;;;;
1858;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32139.4191;;;;;;;;;;;;;;;;;;;;;;;;
