Year;"WorldNI";"WorldGDP";"WorldPTNIB40";"AfricaNI";"AfricaGDP";"AfricaPTNIB40";"AmericasNI";"AmericasGDP";"AmericasPTNIB40";"AsiaNI";"AsiaGDP";"AsiaPTNIB40";"Asia(excl. Middle East)NI";"Asia(excl. Middle East)GDP";"Asia(excl. Middle East)PTNIB40";"Australia/New ZealandNI";"Australia/New ZealandGDP";"Australia/New ZealanPTNIB40";"CaribbeanNI";"CaribbeanGDP";"CaribbeanPTNIB40";"CentralAmericaNI";"CentralAmericaGDP";"CentralAmericaPTNIB40";"CentralAsiaNI";"CentralAsiaGDP";"CentralAsiaPTNIB40";"EasternAfricaNI";"EasternAfricaGDP";"EasternAfricaPTNIB40";"EasternAsiaNI";"EasternAsiaGDP";"EasternAsiaPTNIB40";"EasternEuropeNI";"EasternEuropeGDP";"EasternEuropePTNIB40";"EuropeNI";"EuropeGDP";"EuropePTNIB40";"EuropeanUnionNI";"EuropeanUnionGDP";"EuropeanUnionPTNIB40";"LatinAmericaNI";"LatinAmericaGDP";"LatinAmericaPTNIB40";"MiddleAfricaNI";"MiddleAfricaGDP";"MiddleAfricaPTNIB40";"MiddleEastNI";"MiddleEastGDP";"MiddleEastPTNIB40";"MiddleEastAndNorthernAfricaNI";"MiddleEastAndNorthernAfricaGDP";"MiddleEastAndNorthernAfricaPTNIB40";"NorthernAfricaNI";"NorthernAfricaGDP";"NorthernAfricaPTNIB40";"NorthernAmericaNI";"NorthernAmericaGDP";"NorthernAmericaPTNIB40";"OceaniaNI";"OceaniaGDP";"OceaniaPTNIB40";"Oceania(excl. Australia and New Zealand)NI";"Oceania(excl. Australia and New Zealand)GDP";"Oceania(excl. Australia and New Zealand)PTNIB40";"RussiaAndUkraineNI";"RussiaAndUkraineGDP";"RussiaAndUkrainePTNIB40";"SouthAmericaNI";"SouthAmericaGDP";"SouthAmericaPTNIB40";"South-EasternAsiaNI";"South-EasternAsiaGDP";"South-EasternAsiaPTNIB40";"SouthernAfricaNI";"SouthernAfricaGDP";"SouthernAfricaPTNIB40";"SouthernAsiaNI";"SouthernAsiaGDP";"SouthernAsiaPTNIB40";"Sub-SaharanAfricaNI";"Sub-SaharanAfricaGDP";"Sub-SaharanAfricaPTNIB40";"WesternAfricaNI";"WesternAfricaGDP";"WesternAfricaPTNIB40";"WesternEuropeNI";"WesternEuropeGDP";"WesternEuropePTNIB40";"WesternAsiaNI";"WesternAsiaGDP";"WesternAsiaPTNIB40"

1980;10477,4;11985,6;0,0435;5878,4;6571,1;;21433,5;24717,9;;6875,2;7860,6;;3863,4;4398,6;0,0951;23977,9;28750,6;;6985,8;8400,6;;16426,7;18501,8;;;;;1928,2;2132,5;;4488,4;5122,6;;11182,4;13038,5;0,1815;21163,3;24450,6;0,1471;20751,7;23980,4;0,1528;14003,5;15913,2;0,0566;4539,4;5018,4;;22397,6;24757,0;;19011,7;20848,1;0,0529;9196,6;10052,7;;29098,0;33802,4;0,1326;21371,9;25519,8;0,0669;4415,1;4957,2;;15255,4;18306,7;0,1889;14069,9;15983,9;;3772,7;4340,2;;13800,1;16704,5;;2716,5;3030,3;;4807,8;5442,1;0,0461;5518,7;6066,8;;24384,7;28160,9;0,1589;19632,8;22028,8;
1981;10426,9;11980,6;0,0449;5618,2;6313,6;;21257,1;24668,2;;6925,1;7928,9;;3910,1;4466,8;0,0968;24385,301;29134,6;;6877,2;8267,4;;16905,0;19204,0;;;;;1933,3;2135,3;;4609,1;5286,9;;10876,4;12761,5;0,1792;20967,8;24406,8;0,1466;20513,5;23897,4;0,1518;13514,7;15526,9;0,0568;4605,8;5081,1;;21777,9;23943,4;;18767,1;20529,9;0,054;8850,2;9754,3;;29329,1;34200,1;0,1306;21866,5;26007,0;0,066;4349,1;4896,8;;15313,7;18466,5;0,1864;13213,4;15205,4;;3767,9;4387,4;;13696,4;16612,9;;2699,9;2996,8;;4578,8;5203,9;0,048;4882,0;5398,6;;24248,6;28210,3;0,1598;19801,7;22169,0;
1982;10239,9;11829,4;0,0468;5513,0;6236,7;;20320,1;23869,9;;6909,4;7917,0;;4055,0;4633,4;0,0962;24366,4;29130,0;;6766,2;8083,4;;15644,9;18436,7;;;;;1918,8;2124,8;;4786,7;5485,0;;10743,3;12620,3;0,1778;20867,8;24391,4;0,146;20416,9;23879,8;0,1508;12761,3;14984,9;0,0566;4594,4;5090,3;;20514,9;22540,3;;17232,5;18874,9;0,0605;9060,8;10089,1;;28293,2;33243,5;0,1273;21417,2;25563,6;0,0648;4140,7;4704,3;;15406,8;18548,9;0,1863;12541,2;14686,0;;3767,0;4404,3;;13026,8;15905,4;;2880,3;3205,9;;4372,4;4999,9;0,0501;4518,3;5026,4;;24157,2;28238,0;0,1591;18902,1;21197,6;
1983;10210,7;11806,2;0,0468;5333,4;6044,2;;20074,0;23637,8;;6953,6;7971,6;;4155,4;4751,7;0,0933;23552,199;28358,699;;6590,5;7978,2;;14452,8;17307,0;;;;;1872,6;2081,0;;4897,7;5611,7;;10991,6;12849,4;0,1807;21067,8;24652,5;0,1476;20632,0;24154,3;0,1524;11897,9;14184,5;0,0567;4680,1;5175,3;;19796,5;21661,8;;16311,2;17818,8;0,0645;9066,7;10113,0;;28808,3;33738,2;0,1208;20859,4;25040,9;0,0656;4116,5;4651,1;;15571,0;18843,6;0,1873;11696,5;13902,4;;3883,6;4547,4;;12429,1;15261,3;;2971,2;3315,6;;4130,6;4737,1;0,0507;4042,0;4498,2;;24307,7;28477,6;0,1586;18799,8;21035,0;
1984;10408,7;12020,5;0,0479;5378,9;6086,8;;20984,5;24584,7;;6986,2;8024,6;;4269,0;4883,3;0,0957;23971,5;29091,5;;6499,0;7962,3;;14602,0;17306,6;;;;;1793,2;2009,2;;5133,7;5872,7;;11309,2;13205,6;0,1815;21516,9;25127,3;0,1474;21062,8;24617,0;0,1525;11979,8;14272,0;0,0566;4836,3;5359,0;;19157,7;21078,7;;16175,4;17764,6;0,0673;9265,3;10276,6;;30732,3;35750,1;0,119;21259,6;25697,0;0,0643;4051,7;4626,4;;15558,5;18903,1;0,1877;11770,6;14023,8;;3867,3;4578,0;;12900,7;15759,7;;2975,3;3317,6;;4113,7;4722,1;0,0491;3916,0;4366,0;;24756,3;28942,3;0,1569;18626,3;20911,0;
1985;10464,6;12095,9;0,048;5386,1;6133,7;;21315,6;24984,1;;6976,8;8030,1;;4362,0;4995,1;0,0943;24445,199;29786,699;;6316,3;7856,5;;14570,5;17083,6;;;;;1774,0;2009,2;;5353,8;6126,1;;11392,6;13319,4;0,1815;21851,4;25494,7;0,1469;21371,4;24950,5;0,1519;12109,1;14344,0;0,0564;4796,6;5384,6;;18422,3;20277,7;;15775,5;17351,2;0,0702;9373,9;10426,7;;31420,3;36664,0;0,1183;21725,6;26332,5;0,0634;4063,1;4579,4;;15689,9;19140,6;0,1885;11983,2;14206,6;;3768,4;4473,1;;12297,9;15339,1;;2973,5;3324,2;;4072,4;4715,6;0,0495;4034,4;4496,0;;25143,7;29360,4;0,1563;18173,0;20444,0;
1986;10566,1;12208,1;0,0472;5322,2;6077,8;;21469,0;25225,0;;7055,6;8117,7;;4385,8;5040,8;0,0932;24819,1;30323,6;;6362,9;7939,3;;12921,1;15640,6;;;;;1808,9;2053,6;;5448,9;6249,3;;11594,2;13542,1;0,1818;22329,9;26019,4;0,147;21870,7;25486,3;0,1521;12228,5;14447,6;0,0566;4777,9;5409,2;;18732,4;20217,7;;16358,9;17608,6;0,0688;9224,6;10249,5;;31770,8;37242,0;0,1167;21955,0;26688,1;0,0632;4149,9;4684,2;;15849,6;19527,1;0,1874;12692,4;14818,2;;3709,4;4421,3;;11920,8;15081,5;;2930,9;3299,8;;4033,7;4693,3;0,0507;3992,4;4446,2;;25681,5;29946,0;0,1557;18856,7;20979,8;
1987;10692,5;12348,1;0,0475;5265,6;6010,4;;22021,4;25763,7;;7087,0;8185,0;;4501,5;5174,4;0,0924;24836,4;30558,4;;6458,6;8175,1;;13226,8;15710,5;;;;;1843,1;2089,9;;5624,4;6446,2;;11669,7;13708,2;0,1824;22701,2;26422,7;0,1463;22249,2;25896,3;0,1515;12497,0;14615,4;0,0568;4633,6;5253,8;;18217,7;19913,3;;16014,5;17421,9;0,0714;9047,7;9985,4;;32818,7;38403,7;0,1146;21952,0;26858,8;0,0618;4055,3;4589,0;;15627,6;19493,4;0,1886;12963,1;15003,2;;3904,3;4654,8;;12154,4;15051,8;;2938,7;3311,8;;4026,0;4697,6;0,0506;3895,1;4456,6;;26113,7;30390,3;0,155;18799,7;21041,4;
1988;10938,1;12608,6;0,0468;5351,2;6077,8;;22480,2;26232,6;;7260,5;8365,5;;4640,2;5334,2;0,0897;25740,0;31549,5;;6515,4;8252,2;;13259,4;15517,2;;;;;1868,5;2120,2;;5861,0;6726,4;;11883,0;13938,1;0,1839;23424,2;27223,3;0,1466;22987,8;26715,8;0,1519;12303,9;14382,1;0,0567;4561,4;5206,5;;18208,6;19790,2;;16277,6;17616,5;0,0715;9133,9;10032,6;;34209,0;39893,0;0,1116;22743,3;27705,7;0,0595;4053,8;4589,6;;16027,5;19832,3;0,1888;12658,4;14713,1;;4119,8;4869,9;;12357,8;15211,4;;2915,0;3288,0;;4099,9;4759,7;0,0496;4066,7;4595,8;;26960,4;31327,4;0,1556;19295,9;21532,6;
