"Year","Region","PatrimoineGouvernement","PatrimoinePrivé","PIB","RatioPatrimoineRevenu","RevenuNational","RevenuNationalTop10","RevenuNationalBottom50","RevenuNationalTop1","RevenuNationalMedium40","CapitalNational","PatrimoineTop10","PatrimoineBottom50","PatrimoineTop1","PatrimoineMedium40"
1807,"Afrique du Sud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1807,"Australie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1807,"Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1807,"Chine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1807,"Danemark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1807,"Etats-Unis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1807,"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.01,2.67,44.14,18.32
1807,"Inde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1807,"Japon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1807,"Mexique",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1807,"Royaume-Uni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1807,"Russie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1808,"Afrique du Sud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1808,"Australie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1808,"Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1808,"Chine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1808,"Danemark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1808,"Etats-Unis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1808,"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1808,"Inde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1808,"Japon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
